date,order_id,product,category,price,cost_price,quantity,discount_pct,total_sales,profit,region,sales_channel,payment_method,customer_type,is_weekend
2024-08-18,c6772fb2,C,Furniture,683.96,396.57,7,15.0,4069.56,1293.57,South,Retail,NetBanking,New,1
2024-06-16,b18be2bd,B,Electronics,526.12,294.17,5,15.0,2236.01,765.16,West,Online,NetBanking,Returning,1
2024-01-03,f2e82f5a,B,Electronics,595.25,362.72,4,0.0,2381.0,930.12,East,Retail,Card,New,0
2024-10-04,ca9868de,E,Clothing,369.01,231.43,5,0.0,1845.05,687.9,South,Distributor,Cash,New,0
2024-06-21,d335aab1,F,Clothing,286.84,213.62,6,0.0,1721.04,439.32,North,Retail,Card,New,0
2024-11-08,4ce6f15a,D,Furniture,1405.37,927.17,6,5.0,8010.61,2447.59,West,Distributor,NetBanking,New,0
2024-08-29,d820e5a3,D,Furniture,990.74,708.81,9,10.0,8024.99,1645.7,East,Retail,UPI,New,0
2024-03-29,b39914b2,G,Electronics,877.95,647.05,1,15.0,746.26,99.21,North,Retail,NetBanking,New,0
2024-07-22,2c7dd812,C,Furniture,1430.58,916.39,7,15.0,8511.95,2097.22,East,Retail,NetBanking,New,0
2024-05-01,73beec84,F,Clothing,249.97,168.54,7,10.0,1574.81,395.03,South,Online,NetBanking,New,0
2024-03-03,a3353317,B,Electronics,458.57,317.71,4,10.0,1650.85,380.01,West,Online,NetBanking,Returning,1
2024-08-05,5dfaee57,B,Electronics,325.13,227.15,4,15.0,1105.44,196.84,North,Distributor,UPI,Returning,0
2024-03-21,55bd7922,C,Furniture,711.49,400.44,8,10.0,5122.73,1919.21,South,Online,UPI,Returning,0
2024-07-11,1d4fadec,E,Clothing,181.49,132.98,3,5.0,517.25,118.31,South,Distributor,NetBanking,New,0
2024-10-19,3c70cb1d,A,Electronics,566.7,358.09,5,,2408.48,618.03,North,Distributor,Cash,New,1
2024-11-14,76fcc798,F,Clothing,210.24,127.25,1,5.0,199.73,72.48,East,Online,NetBanking,Returning,0
2024-06-12,d9617a31,D,Furniture,814.74,542.31,3,10.0,2199.8,572.87,East,Online,NetBanking,Returning,0
2024-11-04,19d74e16,F,Clothing,264.44,175.7,6,0.0,1586.64,532.44,South,Online,UPI,Returning,0
2024-10-23,62f7994d,B,Electronics,275.65,177.59,8,0.0,2205.2,784.48,West,Distributor,NetBanking,Returning,0
2024-08-24,135ae860,E,Clothing,282.0,209.31,9,0.0,2538.0,654.21,North,Distributor,UPI,Returning,1
2024-12-15,c13d0464,A,Electronics,679.46,405.19,9,,5503.63,1856.92,South,Online,Cash,New,1
2024-01-26,7e14453d,E,Clothing,197.41,145.07,7,10.0,1243.68,228.19,South,Retail,Card,Returning,0
2024-05-21,4b76ca09,C,Furniture,1059.38,621.72,6,10.0,5720.65,1990.33,West,Retail,Card,Returning,0
2024-05-12,93161a3f,E,Clothing,165.84,122.27,6,5.0,945.29,211.67,North,Online,NetBanking,Returning,1
2024-04-09,69e59fd1,A,Electronics,489.09,280.1,5,15.0,2078.63,678.13,North,Retail,NetBanking,New,0
2024-04-21,baee2e4e,D,Furniture,1626.13,1140.6,10,5.0,15448.24,4042.24,South,Retail,UPI,Returning,1
2024-03-24,619f2a3c,F,Clothing,280.96,209.86,9,10.0,2275.78,387.04,West,Retail,NetBanking,Returning,1
2024-05-29,bba0bc4c,D,Furniture,1501.55,916.81,9,15.0,11486.86,3235.57,South,Retail,UPI,New,0
2024-07-28,e394e32d,E,Clothing,369.5,260.0,6,5.0,2106.15,546.15,South,Distributor,Cash,Returning,1
2024-01-15,de528458,C,Furniture,680.36,487.35,7,0.0,4762.52,1351.07,South,Online,NetBanking,New,0
2024-05-06,34179ee8,E,Clothing,268.85,160.61,5,15.0,1142.61,339.56,West,Distributor,NetBanking,New,0
2024-05-19,03da16db,G,Electronics,364.46,258.07,4,0.0,1457.84,425.56,East,Online,Card,New,1
2024-09-08,42fc2920,C,Furniture,721.45,519.89,5,10.0,3246.53,647.08,South,Distributor,NetBanking,Returning,1
2024-10-07,885e745c,C,Furniture,1003.59,708.55,5,0.0,5017.95,1475.2,South,Distributor,Cash,Returning,0
2024-06-03,9c47ad0c,D,Furniture,1699.97,1175.12,4,10.0,6119.89,1419.41,East,Distributor,NetBanking,Returning,0
2024-05-25,6d0f045b,F,Clothing,172.73,110.47,6,5.0,984.56,321.74,North,Retail,Card,Returning,1
2024-01-06,6b0a9717,D,Furniture,1328.31,738.71,3,15.0,3387.19,1171.06,East,Online,NetBanking,New,1
2024-08-20,358142ac,G,Electronics,445.42,289.81,7,5.0,2962.04,933.37,West,Online,Cash,Returning,0
2024-01-19,d5863e1b,A,Electronics,340.46,192.87,9,0.0,3064.14,1328.31,North,Online,Cash,Returning,0
2024-11-28,3f1996e5,F,Clothing,88.34,66.19,8,15.0,600.71,71.19,North,Distributor,Card,New,0
2024-04-26,d4f70737,C,Furniture,629.91,465.24,8,10.0,4535.35,813.43,South,Online,Card,Returning,0
2024-09-04,a4c0c432,F,Clothing,129.85,89.55,1,5.0,123.36,33.81,North,Retail,UPI,New,0
2024-06-10,1b1070dd,G,Electronics,737.03,475.35,5,0.0,3685.15,1308.4,North,Online,Card,New,0
2024-07-20,b704d985,A,Electronics,403.83,256.69,2,15.0,686.51,173.13,South,Online,Cash,Returning,1
2024-09-03,781a6125,G,Electronics,588.26,438.4,10,10.0,5294.34,910.34,South,Distributor,UPI,New,0
2024-12-14,a4406cfd,C,Furniture,600.53,439.54,8,5.0,4564.03,1047.71,South,Online,Cash,Returning,1
2024-03-07,750e8053,F,Clothing,185.62,129.41,2,15.0,315.55,56.73,East,Retail,Cash,New,0
2024-04-11,9499b090,G,Electronics,553.77,400.81,7,5.0,3682.57,876.9,West,Distributor,UPI,New,0
2024-05-31,80f4e6bf,G,Electronics,511.35,340.96,6,15.0,2607.89,562.13,West,Online,Card,New,0
2024-09-24,6b7df77a,B,Electronics,262.97,180.39,7,0.0,1840.79,578.06,West,Online,NetBanking,New,0
2024-08-14,97d386a7,D,Furniture,1214.48,723.6,10,15.0,10323.08,3087.08,West,Distributor,NetBanking,New,0
2024-01-31,301449de,G,Electronics,765.54,498.01,7,0.0,5358.78,1872.71,North,Distributor,UPI,New,0
2024-04-03,9434bf40,D,Furniture,1610.81,1029.51,7,10.0,10148.1,2941.53,East,Online,UPI,New,0
2024-09-25,6a588867,A,Electronics,774.25,576.5,9,0.0,6968.25,1779.75,East,Retail,Card,New,0
2024-12-19,ca333d63,E,Clothing,389.32,221.18,3,0.0,1167.96,504.42,South,Retail,Card,New,0
2024-11-11,52abcbd2,D,Furniture,860.45,515.25,10,0.0,8604.5,3452.0,East,Distributor,NetBanking,New,0
2024-05-11,85e558fd,D,Furniture,1977.23,1327.45,9,5.0,16905.32,4958.27,East,Distributor,UPI,Returning,1
2024-11-10,d1aa9abb,B,Electronics,303.84,175.75,7,0.0,2126.88,896.63,North,Online,Card,New,1
2024-11-06,b95910fd,G,Electronics,850.75,621.36,8,15.0,5785.1,814.22,South,Retail,Cash,Returning,0
2024-10-13,f72d73d5,A,Electronics,406.57,282.25,10,5.0,3862.41,1039.91,West,Online,Card,Returning,1
2024-03-24,cd824989,E,Clothing,198.49,113.47,3,0.0,595.47,255.06,West,Retail,NetBanking,New,1
2024-05-01,36874530,A,Electronics,416.49,287.7,5,0.0,2082.45,643.95,North,Online,UPI,Returning,0
2024-01-02,f3be2749,G,Electronics,686.85,514.16,6,10.0,3708.99,624.03,West,Online,,New,0
2024-03-04,69fd18aa,F,Clothing,111.79,77.76,9,5.0,955.8,255.96,West,Online,NetBanking,New,0
2024-12-03,969f99cc,G,Electronics,540.3,400.01,9,5.0,4619.56,1019.47,North,Online,Card,Returning,0
2024-08-01,6b0a3ef4,F,Clothing,248.46,149.44,2,5.0,472.07,173.19,East,Distributor,UPI,New,0
2024-01-12,1a4005cd,C,Furniture,806.07,586.41,4,10.0,2901.85,556.21,West,Retail,Card,Returning,0
2024-04-01,fd6980d4,D,Furniture,1029.1,754.97,10,0.0,10291.0,2741.3,East,Distributor,UPI,Returning,0
2024-11-06,d20245a3,G,Electronics,644.59,401.18,3,5.0,1837.08,633.54,West,Retail,UPI,New,0
2024-02-18,34f7d040,A,Electronics,642.23,423.51,2,0.0,1284.46,437.44,West,Distributor,UPI,New,1
2024-08-04,44c02e38,F,Clothing,252.57,177.89,3,5.0,719.82,186.15,North,Retail,UPI,New,1
2024-11-27,56624961,E,Clothing,156.75,107.6,10,,1567.5,491.5,West,Online,Card,Returning,0
2024-12-17,bd5c95be,B,Electronics,461.19,338.92,8,5.0,3505.04,793.68,South,Online,NetBanking,Returning,0
2024-05-13,663242a3,A,Electronics,607.95,336.79,6,,3100.55,1079.81,North,Online,NetBanking,New,0
2024-07-15,e009e2d5,C,Furniture,1285.06,710.17,6,,6553.81,2292.79,West,Retail,Cash,Returning,0
2024-01-19,ad12b600,D,Furniture,1905.05,1216.85,4,0.0,7620.2,2752.8,South,Distributor,Card,Returning,0
2024-07-18,18a5eee3,A,Electronics,442.01,253.62,3,10.0,1193.43,432.57,South,Retail,NetBanking,New,0
2024-11-09,01bf535d,A,Electronics,693.65,381.6,1,5.0,658.97,277.37,North,Retail,NetBanking,New,1
2024-02-14,39635d19,D,Furniture,1564.14,1084.81,7,0.0,10948.98,3355.31,North,Distributor,UPI,Returning,0
2024-10-22,51423775,E,Clothing,386.5,216.76,10,5.0,3671.75,1504.15,North,Online,NetBanking,Returning,0
2024-08-12,0953d74e,E,Clothing,177.32,119.6,7,0.0,1241.24,404.04,West,Distributor,Card,New,0
2024-08-12,c8e98476,B,Electronics,339.11,197.3,9,10.0,2746.79,971.09,East,Retail,Cash,Returning,0
2024-09-13,9b1cd062,A,Electronics,653.01,395.75,6,10.0,3526.25,1151.75,North,Online,NetBanking,Returning,0
2024-05-01,90ed7c1a,F,Clothing,242.11,170.5,4,10.0,871.6,189.6,North,Retail,Cash,Returning,0
2024-09-24,2470ba38,A,Electronics,462.08,310.4,4,15.0,1571.07,329.47,North,Online,NetBanking,Returning,0
2024-06-13,05db5152,C,Furniture,828.82,509.66,10,15.0,7044.97,1948.37,East,Retail,UPI,New,0
2024-10-14,bbd93888,B,Electronics,529.3,353.85,9,15.0,4049.14,864.49,South,Retail,Cash,New,0
2024-10-11,9e88e7c6,E,Clothing,253.91,141.62,5,15.0,1079.12,371.02,North,Online,UPI,New,0
2024-08-06,f54c83d0,B,Electronics,367.92,217.43,3,5.0,1048.57,396.28,West,Retail,UPI,Returning,0
2024-09-04,621d93b2,D,Furniture,1790.37,1247.86,5,15.0,7609.07,1369.77,North,Distributor,NetBanking,New,0
2024-02-08,29b7355d,D,Furniture,1226.63,694.48,4,15.0,4170.54,1392.62,West,Retail,,New,0
2024-07-10,c055d566,C,Furniture,715.93,528.07,5,5.0,3400.67,760.32,South,Retail,Cash,New,0
2024-02-14,b7c3eee3,G,Electronics,449.89,258.05,3,15.0,1147.22,373.07,East,Distributor,Card,New,0
2024-12-23,b2c2ded1,F,Clothing,157.39,98.93,3,0.0,472.17,175.38,South,Online,UPI,Returning,0
2024-02-11,659fd461,D,Furniture,1996.94,1297.06,6,10.0,10783.48,3001.12,West,Online,Card,New,1
2024-10-07,e2eefaa1,F,Clothing,147.24,100.31,10,0.0,1472.4,469.3,East,Retail,NetBanking,New,0
2024-01-01,6a5f1e82,G,Electronics,639.39,441.49,6,0.0,3836.34,1187.4,North,Online,NetBanking,Returning,0
2024-10-04,5d203ab6,B,Electronics,328.39,224.65,5,15.0,1395.66,272.41,West,Retail,Card,Returning,0
2024-06-15,7b312443,G,Electronics,460.07,292.72,9,15.0,3519.54,885.06,East,Retail,NetBanking,Returning,1
2024-06-22,1044dbdd,F,Clothing,132.33,85.21,9,0.0,1190.97,424.08,West,Distributor,Card,Returning,1
2024-05-22,c7e2244b,C,Furniture,1405.57,1008.31,8,15.0,9557.88,1491.4,West,Distributor,Card,Returning,0
2024-01-15,16e09bdd,B,Electronics,416.13,283.03,1,0.0,416.13,133.1,South,Distributor,Cash,Returning,0
2024-10-25,74c2aad1,E,Clothing,118.64,65.3,10,0.0,1186.4,533.4,East,Distributor,NetBanking,Returning,0
2024-04-14,a919d8fe,E,Clothing,274.02,161.76,2,10.0,493.24,169.72,South,Retail,Card,New,1
2024-04-01,f26c4367,D,Furniture,1697.53,1004.73,6,0.0,10185.18,4156.8,North,Retail,UPI,New,0
2024-02-04,3d9fbeac,A,Electronics,579.79,413.74,3,5.0,1652.4,411.18,North,Online,Card,New,1
2024-10-23,d2c09e1e,G,Electronics,775.67,533.34,7,15.0,4615.24,881.86,South,Online,Card,New,0
2024-11-17,dc6d172f,B,Electronics,316.48,194.72,4,15.0,1076.03,297.15,West,Distributor,UPI,New,1
2024-10-28,b1509d9d,D,Furniture,934.53,531.89,6,15.0,4766.1,1574.76,North,Distributor,NetBanking,New,0
